eval_id,eval_name,eval_dataset,eval_aug,eval_method,eval_K_fold,pretrain_id,pretrain_name,pretrain_dataset,pretrain_method,pretrain_aug,accuracies,backbone,K
8fxkiykh,__finetune__rgz__minmax__byol_hulk_aug_minmax_model_resnet50__K3__as_is__info_wo_nan__,rgz,minmax,finetune,finetune,h86uf9vr,byol_hulk_aug_minmax_model_resnet50,hulk,byol,minmax,"[20.133333206176758, 17.211111068725586, 17.844444274902344]",resnet50,3
66ikgq5t,__finetune__rgz__minmax__byol_hulk_aug_mixed_model_resnet50__K3__as_is__info_wo_nan__,rgz,minmax,finetune,finetune,nlmcibmc,byol_hulk_aug_mixed_model_resnet50,hulk,byol,mixed,"[16.866666793823242, 17.08888816833496, 19.155555725097656]",resnet50,3
4d44ghfs,__finetune__rgz__mixed__byol_banner_aug_mixed_model_resnet18__K3__as_is__info_wo_nan__,rgz,mixed,finetune,finetune,jymmsi6s,byol_banner_aug_mixed_model_resnet18,banner,byol,mixed,"[21.05555534362793, 16.94444465637207, 15.40000057220459]",resnet18,3
37qangzw,__finetune__rgz__minmax__simclr_banner_aug_minmax_model_resnet50__K3__as_is__info_wo_nan__,rgz,minmax,finetune,finetune,4j8zhz46,simclr_banner_aug_minmax_model_resnet50,banner,simclr,minmax,"[15.199999809265137, 24.644445419311523, 20.11111068725586]",resnet50,3
2o3s5hte,__finetune__rgz__minmax__byol_banner_aug_mixed_model_resnet18__K3__as_is__info_wo_nan__,rgz,minmax,finetune,finetune,jymmsi6s,byol_banner_aug_mixed_model_resnet18,banner,byol,mixed,"[17.53333282470703, 14.100000381469727, 12.45555591583252]",resnet18,3
1iyzlog3,__finetune__rgz__minmax__byol_hulk_aug_mixed_model_resnet18__K3__as_is__info_wo_nan__,rgz,minmax,finetune,finetune,wgoatix7,byol_hulk_aug_mixed_model_resnet18,hulk,byol,mixed,"[17.255556106567383, 15.933333396911621, 18.600000381469727]",resnet18,3
b97hlq2z,__finetune__rgz__minmax__simclr_banner_aug_minmax_model_resnet18__K3__as_is__info_wo_nan__,rgz,minmax,finetune,finetune,uiaz3umx,simclr_banner_aug_minmax_model_resnet18,banner,simclr,minmax,"[19.0222225189209, 15.111111640930176, 13.933333396911621]",resnet18,3
8bat5t3a,__finetune__rgz__minmax____pretrain__banner__dino__resnet18__e600__p256____K3__as_is__info_wo_nan__,rgz,minmax,finetune,finetune,r55v8bjo,__pretrain__banner__dino__resnet18__e600__p256__,banner,dino,mixed,"[15.855555534362793, 15.777777671813965, 17.58888816833496]",resnet18,3
fqdvmpbz,__finetune__rgz__minmax__byol_banner_aug_mixed_model_resnet50_lr02__K3__as_is__info_wo_nan__,rgz,minmax,finetune,finetune,x21qga53,byol_banner_aug_mixed_model_resnet50_lr02_600epcs,banner,byol,mixed,"[16.66666603088379, 24.511112213134766, 15.833333969116211]",resnet50,3
cli1jl5o,__finetune__rgz__minmax__byol_banner_aug_minmax_model_resnet50__K3__as_is__info_wo_nan__,rgz,minmax,finetune,finetune,xtulgzz6,byol_banner_aug_minmax_model_resnet50,banner,byol,minmax,"[16.433334350585938, 16.299999237060547, 19.22222328186035]",resnet50,3
335ai1rw,__linear__rgz__mixed____pretrain__banner__dino__mixed__vittiny__e600__p256____K3__as_is__info_wo_nan__,rgz,mixed,linear,linear,6jz72oq3,__pretrain__banner__dino__mixed__vittiny__e600__p256__,banner,dino,mixed,"[16.66666603088379, 16.66666603088379, 16.66666603088379]",vit_tiny,3
qyhcfmoz,__linear__rgz__mixed__simclr_banner_aug_mixed_model_resnet50__K3__as_is__info_wo_nan__,rgz,mixed,linear,linear,u4crvqfs,simclr_banner_aug_mixed_model_resnet50,banner,simclr,mixed,"[69.46666717529297, 69.92222595214844, 69.76667022705078]",resnet50,3
lgcsfqzb,__linear__rgz__mixed____pretrain__banner__dino__mixed__vittiny__e600__p512__lr001__K3__as_is__info_wo_nan__,rgz,mixed,linear,linear,5mn08b62,__pretrain__banner__dino__mixed__vittiny__e600__p512__lr001,banner,dino,mixed,"[50.9555549621582, 51.5, 50.20000076293945]",vit_tiny,3
gp38fxn4,__linear__rgz__mixed____pretrain__banner__dino__mixed__vittiny__e600__p256__lr001__K3__as_is__info_wo_nan__,rgz,mixed,linear,linear,ef8jdr9u,__pretrain__banner__dino__mixed__vittiny__e600__p256__lr001,banner,dino,mixed,"[31.61111068725586, 33.02222442626953, 32.011112213134766]",vit_tiny,3
goycm7ok,__linear__rgz__mixed____pretrain__banner__dino__resnet18__e600__p256____K3__as_is__info_wo_nan__,rgz,mixed,linear,linear,r55v8bjo,__pretrain__banner__dino__resnet18__e600__p256__,banner,dino,mixed,"[68.55555725097656, 68.24444580078125, 69.0999984741211]",resnet18,3
eh041j91,__linear__rgz__mixed__simclr_banner_aug_minmax_model_resnet50__K3__as_is__info_wo_nan__,rgz,mixed,linear,linear,4j8zhz46,simclr_banner_aug_minmax_model_resnet50,banner,simclr,minmax,"[66.96666717529297, 66.94444274902344, 67.35555267333984]",resnet50,3
bxutdtrs,__linear__rgz__mixed__simclr_banner_aug_mixed_model_resnet18__K3__as_is__info_wo_nan__,rgz,mixed,linear,linear,hljzzxvp,simclr_banner_aug_mixed_model_resnet18,banner,simclr,mixed,"[69.30000305175781, 69.43333435058594, 68.94444274902344]",resnet18,3
